Title,Location,Price,Bedrooms,Bathrooms,Features,URL,Created_Date
Yogyakarta,"Jalan Tajem Maguwoharjo, Depok, Sleman, DI Yogyakarta",Rp 575 jt,3,2,"3  2 , 56 m², Rp 5.989.583 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-yogyakarta-oleh-elin-nur-merdiasari-21319741,20230812_093203
Yogyakarta,"Jalan Candirejo, Berbah, Sleman, DI Yogyakarta",Rp 450 jt,3,1,"3  1 , 55 m², Rp 4.838.710 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-yogyakarta-oleh-elin-nur-merdiasari-21124300,20230812_093203
Rumah Bagus Murah Dekat Kampus UNRIYO Jalan Tajem,"Jalan Tajem, Ngemplak, Sleman, DI Yogyakarta",Rp 550 jt,3,1,"3  1 , 60 m², Rp 6.626.506 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-rumah-bagus-murah-dekat-kampus-unriyo-jalan-tajem-oleh-elin-nur-merdiasari-21897262,20230812_093203
"Pekarangan Strategis Jogja, Harga 2 Jt-an, Siap Balik Nama","Sukoharjo, Kraton, Ngaglik, Sleman, Kraton, Yogyakarta, DI Yogyakarta","Rp 2,6 jt",N/A,N/A,"352 m² (tanah), Rp 7.386 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-pekarangan-strategis-jogja-harga-2-jt-an-siap-balik-nama-oleh-zain-22073867,20230812_093203
"12 menit Kampus UGM & UII Jogja, Siap Balik Nama","Tiyasan, Condongcatur Sleman Jogja, Umbulharjo, Yogyakarta, DI Yogyakarta","Rp 1,264 M",N/A,N/A,"320 m² (tanah), Rp 3.950.000 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-12-menit-kampus-ugm-uii-jogja-siap-balik-nama-oleh-anisa-dewi-22037754,20230812_093203
RUMAH KLASIK MODERN BATA EXPOSE FREE CUSTOM BISA KPR NEGO,"Prambanan, Sleman, DI Yogyakarta",Rp 485 jt,2,1,"2  1 , 46 m², Rp 5.105.263 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-rumah-klasik-modern-bata-expose-free-custom-bisa-kpr-nego-oleh-joe-adi-karta-21998083,20230812_093203
PROMO RUMAH CASHBACK 50 JUTA SISA 3 DI SLEMAN FREE FURNISH BISA KPR,"Berbah, Sleman, DI Yogyakarta",Rp 690 jt,2,1,"2  1 , 60 m², Rp 8.117.647 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-promo-rumah-cashback-50-juta-sisa-3-di-sleman-free-furnish-bisa-kpr-oleh-joe-adi-karta-21997892,20230812_093203
RUMAH SKADINAVIAN MODERN FREE MEZZANINE BISA KPR BISA CUSTOM LAYOUT,"Prambanan, Sleman, DI Yogyakarta",Rp 738 jt,2,1,"2  1 , 36 m², Rp 5.386.861 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-rumah-skadinavian-modern-free-mezzanine-bisa-kpr-bisa-custom-layout-oleh-joe-adi-karta-21977735,20230812_093203
RUMAH SKADINAVIAN MODERN FREE MEZZANINE BISA KPR BISA CUSTOM LAYOUT,"Prambanan, Sleman, DI Yogyakarta",Rp 738 jt,2,1,"2  1 , 36 m², Rp 5.386.861 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-rumah-skadinavian-modern-free-mezzanine-bisa-kpr-bisa-custom-layout-oleh-joe-adi-karta-21977735,20230812_093203
Patraland Amarta Apartemen Jogja Siap huni dekat UGM,"Jl Palagan tentara pelajar Km 7.5 Ngaglik, Ngaglik, Sleman, DI Yogyakarta","Rp 1,6 M",2,1,"2  1 , 63 m², Rp 25.396.825 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-patraland-amarta-apartemen-jogja-siap-huni-dekat-ugm-oleh-ema-widya-kalpikawati-22038154,20230812_093203
